,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
0,1,2007-05-01,83,50,67,14,51,56,0,2,0448,1849, ,0.0,0.0,29.1,29.82,1.7,27,9.2
1,2,2007-05-01,84,52,68,M,51,57,0,3,-,-, ,M,0.0,29.18,29.82,2.7,25,9.6
2,1,2007-05-02,59,42,51,-3,42,47,14,0,0447,1850,BR,0.0,0.0,29.38,30.09,13.0,4,13.4
3,2,2007-05-02,60,43,52,M,42,47,13,0,-,-,BR HZ,M,0.0,29.44,30.08,13.3,2,13.4
4,1,2007-05-03,66,46,56, 2,40,48,9,0,0446,1851, ,0.0,0.0,29.39,30.12,11.7,7,11.9
5,2,2007-05-03,67,48,58,M,40,50,7,0,-,-,HZ,M,0.0,29.46,30.12,12.9,6,13.2
6,1,2007-05-04,66,49,58, 4,41,50,7,0,0444,1852,RA,0.0,0.005,29.31,30.05,10.4,8,10.8
7,2,2007-05-04,78,51,64,M,42,50,7,0,-,-, ,M,0.0,29.36,30.04,10.1,7,10.4
8,1,2007-05-05,66,53,60, 5,38,49,5,0,0443,1853, ,0.0,0.005,29.4,30.1,11.7,7,12.0
9,2,2007-05-05,66,54,60,M,39,50,5,0,-,-, ,M,0.005,29.46,30.09,11.2,7,11.5
10,1,2007-05-06,68,49,59, 4,30,46,6,0,0442,1855, ,0.0,0.0,29.57,30.29,14.4,11,15.0
11,2,2007-05-06,68,52,60,M,30,46,5,0,-,-, ,M,0.0,29.62,30.28,13.8,10,14.5
12,1,2007-05-07,83,47,65,10,41,54,0,0,0441,1856,RA,0.0,0.005,29.38,30.12,8.6,18,10.5
13,2,2007-05-07,84,50,67,M,39,53,0,2,-,-, ,M,0.0,29.44,30.12,8.5,17,9.9
14,1,2007-05-08,82,54,68,12,58,62,0,3,0439,1857,BR,0.0,0.0,29.29,30.03,2.7,11,5.8
15,2,2007-05-08,80,60,70,M,57,63,0,5,-,-,HZ,M,0.005,29.36,30.02,2.5,8,5.4
16,1,2007-05-09,77,61,69,13,59,63,0,4,0438,1858,BR HZ,0.0,0.13,29.21,29.94,3.9,9,6.2
17,2,2007-05-09,76,63,70,M,60,63,0,5,-,-,BR HZ,M,0.02,29.28,29.93,3.9,7,5.9
18,1,2007-05-10,84,56,70,14,52,60,0,5,0437,1859,BR,0.0,0.0,29.2,29.92,0.7,17,4.1
19,2,2007-05-10,83,59,71,M,52,61,0,6,-,-,BR HZ,M,0.0,29.26,29.91,2.0,9,3.9
20,1,2007-05-11,70,51,61, 4,42,51,4,0,0436,1860, ,0.0,0.0,29.33,30.04,11.3,3,12.9
21,2,2007-05-11,73,49,61,M,44,51,4,0,-,-, ,M,0.0,29.39,30.03,11.7,36,12.8
22,1,2007-05-12,64,46,55,-2,36,46,10,0,0435,1901, ,0.0,0.0,29.49,30.2,12.4,3,12.9
23,2,2007-05-12,65,47,56,M,37,46,9,0,-,-, ,M,0.0,29.54,30.19,12.7,1,13.0
